,TrackID,TrackName,Popularity,Duration,Explicit,Artists,ArtistsID,ReleaseYear,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,TimeSignature,artists_upd_v1,artists_upd_v2,artists_upd,artists_song,consolidates_genre_lists,popularity_red
233769,1oaGF1WX4dMGOwZL3ueYVw,Por Debajo De La Mesa,60,184080,0,['Luis Miguel'],['2nszmSgqreHSdJA3zWPyrW'],2005,0.401,0.499,0,-7.643,1,0.0272,0.217,0.0,0.149,0.262,144.276,4,['Luis Miguel'],[],['Luis Miguel'],Luis Miguel+Por Debajo De La Mesa,"['latin', 'latin_pop', 'bolero']",12
233772,1Un83XSiTaFLlH43QWT0Vy,Pensar En Ti - En Vivo,46,272040,0,['Luis Miguel'],['2nszmSgqreHSdJA3zWPyrW'],1995,0.467,0.728,1,-6.492,1,0.0394,0.519,2.06e-06,0.422,0.199,134.038,4,['Luis Miguel'],[],['Luis Miguel'],Luis Miguel+Pensar En Ti - En Vivo,"['latin', 'latin_pop', 'bolero']",9
233780,2S2IWM3kJMKFZHtwdvwGF8,O Tu O Ninguna,44,196333,0,['Luis Miguel'],['2nszmSgqreHSdJA3zWPyrW'],2005,0.302,0.428,5,-8.814,1,0.0338,0.479,0.0,0.105,0.119,144.075,4,['Luis Miguel'],[],['Luis Miguel'],Luis Miguel+O Tu O Ninguna,"['latin', 'latin_pop', 'bolero']",8
233849,1JNYMz4hu58DkPLIt201Cv,Hasta Que Me Olvides - En Vivo,48,265293,0,['Luis Miguel'],['2nszmSgqreHSdJA3zWPyrW'],1995,0.565,0.732,3,-7.247,1,0.0351,0.626,0.0,0.789,0.393,126.051,4,['Luis Miguel'],[],['Luis Miguel'],Luis Miguel+Hasta Que Me Olvides - En Vivo,"['latin', 'latin_pop', 'bolero']",9
233851,5Du3bmN3s1rrkjYgwBR5Co,Hasta El Fin,46,290067,0,['Luis Miguel'],['2nszmSgqreHSdJA3zWPyrW'],1993,0.577,0.469,4,-10.273,0,0.0269,0.147,1.79e-06,0.123,0.213,129.886,4,['Luis Miguel'],[],['Luis Miguel'],Luis Miguel+Hasta El Fin,"['latin', 'latin_pop', 'bolero']",9
233906,3PoR4LhD7Y74bPpk8lZ6f7,Ayer,56,207360,0,['Luis Miguel'],['2nszmSgqreHSdJA3zWPyrW'],1993,0.288,0.312,5,-11.31,1,0.0332,0.777,2.28e-06,0.0865,0.204,113.983,4,['Luis Miguel'],[],['Luis Miguel'],Luis Miguel+Ayer,"['latin', 'latin_pop', 'bolero']",11
234169,342v3Is0g1CfidoxekA4f8,Lo Chiamavano King (His Name Is King),53,117960,0,"['Luis Bacalov', ""Edda Dell'Orso""]","['4iy3JrFlBLHPvXqN1OcQS1', '44oCA91Zsi73fzubIX6Sqh']",2012,0.519,0.662,9,-4.398,0,0.0513,0.527,3.14e-06,0.106,0.607,90.222,4,['Luis Bacalov'],"[""Edda Dell'Orso""]",['Luis Bacalov'],Luis Bacalov+Lo Chiamavano King (His Name Is King),"['classic_soundtrack', 'italian_soundtrack']",10
234223,1nXEpsr2TFTIfOT2YkoPIb,Toda la Vida Tiene Música Hoy,34,281920,0,['Luis Alberto Spinetta'],['1MuQ2m2tg7naeRGAOxYZer'],1977,0.492,0.393,10,-14.266,1,0.0325,0.249,0.0699,0.261,0.543,87.526,4,['Luis Alberto Spinetta'],[],['Luis Alberto Spinetta'],Luis Alberto Spinetta+Toda la Vida Tiene Música Hoy,"['argentine_indie', 'rock_nacional', 'rock_en_espanol', 'latin_alternative', 'argentine_rock', 'latin_rock', 'post-punk_argentina']",6
234315,7ze8PcVXJzcAfCQ0Etjp6v,A Dieciocho Minutos del Sol,36,331560,0,['Luis Alberto Spinetta'],['1MuQ2m2tg7naeRGAOxYZer'],1977,0.43,0.522,0,-14.934,1,0.0512,0.572,0.598,0.117,0.28,136.332,4,['Luis Alberto Spinetta'],[],['Luis Alberto Spinetta'],Luis Alberto Spinetta+A Dieciocho Minutos del Sol,"['argentine_indie', 'rock_nacional', 'rock_en_espanol', 'latin_alternative', 'argentine_rock', 'latin_rock', 'post-punk_argentina']",7
234959,2WLVvf6jAZUQOkK0HVgRy3,"Piano Sonata No. 21 in C major, Op. 53, ""Waldstein"": I. Allegro con brio",3,482133,0,"['Ludwig van Beethoven', 'Vladimir Ashkenazy']","['2wOqMjp9TyABvtHdOSOTUS', '20iZXzMb8LoWXOeca32i82']",1959,0.298,0.269,0,-19.607,1,0.04,0.988,0.916,0.0921,0.171,165.396,4,"['Ludwig van Beethoven', 'Vladimir Ashkenazy']",[],"['Ludwig van Beethoven', 'Vladimir Ashkenazy']","Ludwig van Beethoven+Piano Sonata No. 21 in C major, Op. 53, ""Waldstein"": I. Allegro con brio","['classical_performance', 'german_romanticism', 'classical', 'russian_classical_piano', 'classical_era', 'early_romantic_era']",0
235101,2zSiV8Ze0yyrFtbVzX2Ytg,"II. Adagio cantabile from Piano Sonata No. 8 in C minor, Op. 13 ""Pathetique"" - Instrumental",47,321040,0,"['Ludwig van Beethoven', 'Murray Perahia']","['2wOqMjp9TyABvtHdOSOTUS', '4EEQIAJoeN1V30MqFFtXxB']",1994,0.283,0.0022,8,-41.733,1,0.0451,0.991,0.887,0.105,0.0878,62.413,4,"['Ludwig van Beethoven', 'Murray Perahia']",[],"['Ludwig van Beethoven', 'Murray Perahia']","Ludwig van Beethoven+II. Adagio cantabile from Piano Sonata No. 8 in C minor, Op. 13 ""Pathetique"" - Instrumental","['classical_performance', 'german_romanticism', 'classical', 'american_classical_piano', 'classical_era', 'classical_piano', 'early_romantic_era']",9
